,Дата,Горизонт,Температура,"прозрачность, м",Chl_a,,
0,1948-01-10 00:00:00,0,0,,,,
1,1948-01-10 00:00:00,10,"0,2",,,,
2,1948-01-10 00:00:00,20,"0,4",,,,
3,1948-01-10 00:00:00,50,"0,55",,,,
4,1948-01-10 00:00:00,100,"2,93",,,,
5,1948-01-10 00:00:00,250,"3,5",,,,
6,1948-01-29 00:00:00,0,0,,,,
7,1948-01-29 00:00:00,25,"0,6",,,,
8,1948-01-29 00:00:00,50,"0,6",,,,
9,1948-01-29 00:00:00,100,"1,1",,,,
10,1948-01-29 00:00:00,250,"3,5",,,,
11,1948-01-30 00:00:00,0,0,,,,
12,1948-01-30 00:00:00,10,"0,2",,,,
13,1948-01-30 00:00:00,20,"0,45",,,,
14,1948-01-30 00:00:00,50,"0,6",,,,
15,1948-01-30 00:00:00,100,"1,1",,,,
16,1948-02-26 00:00:00,0,0,,,,
17,1948-02-26 00:00:00,25,"0,55",,,,
18,1948-02-26 00:00:00,50,"0,8",,,,
19,1948-02-26 00:00:00,250,"3,6",,,,
20,1948-02-27 00:00:00,0,0,,,,
21,1948-02-27 00:00:00,10,"0,2",,,,
22,1948-02-27 00:00:00,20,"0,55",,,,
23,1948-02-27 00:00:00,50,"0,8",,,,
24,1948-02-27 00:00:00,250,"3,6",,,,
25,1948-03-18 00:00:00,0,"0,1",,,,
26,1948-03-18 00:00:00,25,"0,6",,,,
27,1948-03-18 00:00:00,50,"1,2",,,,
28,1948-03-18 00:00:00,100,"2,55",,,,
29,1948-03-18 00:00:00,250,"3,6",,,,
30,1948-03-19 00:00:00,0,0,,,,
31,1948-03-19 00:00:00,10,"0,4",,,,
32,1948-03-19 00:00:00,20,"0,6",,,,
33,1948-03-19 00:00:00,50,"1,2",,,,
34,1948-03-19 00:00:00,100,"2,55",,,,
35,1948-03-19 00:00:00,250,3,,,,
36,1948-04-04 00:00:00,0,"0,4",,,,
37,1948-04-04 00:00:00,25,"0,75",,,,
38,1948-04-04 00:00:00,50,"1,25",,,,
39,1948-04-04 00:00:00,100,"2,5",,,,
40,1948-04-04 00:00:00,250,"3,6",,,,
41,1948-04-05 00:00:00,0,"0,4",,,,
42,1948-04-05 00:00:00,10,"0,7",,,,
43,1948-04-05 00:00:00,20,"0,75",,,,
44,1948-04-05 00:00:00,50,"1,25",,,,
45,1948-04-05 00:00:00,100,"2,25",,,,
46,1948-04-05 00:00:00,250,"3,6",,,,
47,1948-05-29 00:00:00,0,"2,1",,,,
48,1948-05-29 00:00:00,10,"2,2",,,,
49,1948-05-29 00:00:00,20,"2,7",,,,
