date,depth,temp
1948-01-10,0.0,0.0
1948-01-10,10.0,0.2
1948-01-10,50.0,0.55
1948-01-10,100.0,2.93
1948-01-10,250.0,3.5
1948-01-29,0.0,0.0
1948-01-29,25.0,0.6
1948-01-29,50.0,0.6
1948-01-29,100.0,1.1
1948-01-29,250.0,3.5
1948-01-30,0.0,0.0
1948-01-30,10.0,0.2
1948-01-30,50.0,0.6
1948-01-30,100.0,1.1
1948-02-26,0.0,0.0
1948-02-26,25.0,0.55
1948-02-26,50.0,0.8
1948-02-26,250.0,3.6
1948-02-27,0.0,0.0
1948-02-27,10.0,0.2
1948-02-27,50.0,0.8
1948-02-27,250.0,3.6
1948-03-18,0.0,0.1
1948-03-18,25.0,0.6
1948-03-18,50.0,1.2
1948-03-18,100.0,2.55
1948-03-18,250.0,3.6
1948-03-19,0.0,0.0
1948-03-19,10.0,0.4
1948-03-19,50.0,1.2
1948-03-19,100.0,2.55
1948-03-19,250.0,3.0
1948-04-04,0.0,0.4
1948-04-04,25.0,0.75
1948-04-04,50.0,1.25
1948-04-04,100.0,2.5
1948-04-04,250.0,3.6
1948-04-05,0.0,0.4
1948-04-05,10.0,0.7
1948-04-05,50.0,1.25
1948-04-05,100.0,2.25
1948-04-05,250.0,3.6
1948-05-29,0.0,2.1
1948-05-29,10.0,2.2
1948-05-29,50.0,2.5
1948-05-29,100.0,2.5
1948-05-29,250.0,3.4
1948-06-09,0.0,2.7
1948-06-09,10.0,3.2
1948-06-09,25.0,3.3
1948-06-09,50.0,3.2
1948-06-09,100.0,2.8
1948-06-09,250.0,3.4
1948-06-14,0.0,4.1
1948-06-14,10.0,3.8
1948-06-14,50.0,3.8
1948-06-14,100.0,3.8
1948-06-14,250.0,3.7
1948-06-26,0.0,4.5
1948-06-26,10.0,4.2
1948-06-26,50.0,3.9
1948-06-26,100.0,3.9
1948-06-26,250.0,3.7
1948-06-29,0.0,4.5
1948-06-29,25.0,4.2
1948-06-29,50.0,3.9
1948-06-29,100.0,3.9
1948-06-29,250.0,3.7
1948-07-07,0.0,5.8
1948-07-07,25.0,4.1
1948-07-07,50.0,4.1
1948-07-07,100.0,3.9
1948-07-07,250.0,3.9
1948-07-09,0.0,5.3
1948-07-09,10.0,4.7
1948-07-09,50.0,5.2
1948-07-09,100.0,3.9
1948-07-09,250.0,3.7
1948-07-20,0.0,8.2
1948-07-20,10.0,5.7
1948-07-20,25.0,5.15
1948-07-20,50.0,4.6
1948-07-20,100.0,4.1
1948-07-20,250.0,3.8
1948-07-27,0.0,11.8
1948-07-27,10.0,6.75
1948-07-27,50.0,5.2
1948-07-31,0.0,10.8
1948-07-31,10.0,7.1
1948-07-31,50.0,3.95
1948-07-31,100.0,3.95
1948-07-31,250.0,3.85
1948-08-01,0.0,9.3
1948-08-01,25.0,4.4
1948-08-01,50.0,4.1
1948-08-01,100.0,4.0
1948-08-01,250.0,3.9
1948-08-09,0.0,5.9
1948-08-09,10.0,5.0
1948-08-09,50.0,4.4
1948-08-09,100.0,3.8
1948-08-09,250.0,3.7
1948-08-19,0.0,10.1
1948-08-19,10.0,7.8
1948-08-19,50.0,4.6
1948-08-19,100.0,4.9
1948-08-19,250.0,4.0
1948-08-25,0.0,11.8
1948-08-25,10.0,11.1
1948-08-25,50.0,5.9
1948-08-25,100.0,4.0
1948-08-25,250.0,3.7
1948-08-31,0.0,10.9
1948-08-31,10.0,10.6
1948-08-31,50.0,4.7
1948-08-31,100.0,4.2
1948-08-31,250.0,3.9
1948-09-09,0.0,10.6
1948-09-09,25.0,10.1
1948-09-09,50.0,9.7
1948-09-09,100.0,5.3
1948-09-09,250.0,3.9
1948-09-10,0.0,10.6
1948-09-10,10.0,10.3
1948-09-10,50.0,9.7
1948-09-10,100.0,5.3
1948-09-10,250.0,3.9
1948-09-17,0.0,10.1
1948-09-17,10.0,10.4
1948-09-17,25.0,10.1
1948-09-17,50.0,8.0
1948-10-03,0.0,9.1
1948-10-03,10.0,9.1
1948-10-03,50.0,8.5
1948-10-03,100.0,4.1
1948-10-03,100.0,4.1
1948-10-03,250.0,4.3
1948-10-31,0.0,3.6
1948-10-31,10.0,3.6
1948-10-31,50.0,3.6
1948-11-05,0.0,3.8
1948-11-05,50.0,3.8
1948-11-30,0.0,3.6
1948-11-30,25.0,3.6
1948-11-30,50.0,3.6
1948-11-30,250.0,3.6
1949-01-24,0.0,0.2
1949-01-24,10.0,0.2
1949-01-24,25.0,0.7
1949-01-24,50.0,2.3
1949-01-24,100.0,3.7
1949-02-28,0.0,0.1
1949-02-28,10.0,0.2
1949-02-28,25.0,0.7
1949-02-28,50.0,1.8
1949-02-28,100.0,3.5
1949-02-28,250.0,3.8
1949-03-21,0.0,0.6
1949-03-21,10.0,0.9
1949-03-21,25.0,1.5
1949-03-21,50.0,1.5
1949-03-21,100.0,3.2
1949-03-21,250.0,3.6
1949-04-04,0.0,1.3
1949-04-04,10.0,1.4
1949-04-04,25.0,1.4
1949-04-04,50.0,1.5
1949-04-04,100.0,3.15
1949-04-04,250.0,3.55
1949-04-11,0.0,1.3
1949-04-11,10.0,1.6
1949-04-11,25.0,1.8
1949-04-11,50.0,1.8
1949-04-11,100.0,3.1
1949-04-11,250.0,3.6
1949-04-18,0.0,1.3
1949-04-18,10.0,1.6
1949-04-18,25.0,1.6
1949-04-18,50.0,1.8
1949-04-27,0.0,2.8
1949-04-27,10.0,2.8
1949-04-27,25.0,2.8
1949-04-27,50.0,3.1
1949-04-27,100.0,3.6
1949-04-27,250.0,3.55
1949-05-10,0.0,2.9
1949-05-10,10.0,2.8
1949-05-10,25.0,2.8
1949-05-10,50.0,2.8
1949-05-10,100.0,3.25
1949-05-10,250.0,3.55
1949-05-23,0.0,3.45
1949-05-23,10.0,3.5
1949-05-23,25.0,3.5
1949-05-23,50.0,3.5
1949-05-23,100.0,3.45
1949-05-23,250.0,3.5
1949-06-04,0.0,4.0
1949-06-04,10.0,3.8
1949-06-04,25.0,3.8
1949-06-04,50.0,3.8
1949-06-04,100.0,3.7
1949-06-04,250.0,3.7
1949-06-14,0.0,5.2
1949-06-14,100.0,3.9
1949-06-14,250.0,3.8
1949-06-25,0.0,5.5
1949-06-25,10.0,4.5
1949-06-25,25.0,4.4
1949-06-25,50.0,4.4
1949-06-25,100.0,4.1
1949-06-25,250.0,3.8
1949-07-05,0.0,7.2
1949-07-05,10.0,6.9
1949-07-05,25.0,6.6
1949-07-05,50.0,6.5
1949-07-05,100.0,6.0
1949-07-05,250.0,3.7
1949-07-16,0.0,10.6
1949-07-16,10.0,6.5
1949-07-16,25.0,5.8
1949-07-16,50.0,4.8
1949-07-16,100.0,4.25
1949-07-16,250.0,3.8
1949-07-19,0.0,7.2
1949-07-19,50.0,4.25
1949-07-19,250.0,3.7
1949-07-27,0.0,10.9
1949-07-27,10.0,9.3
1949-07-27,25.0,7.4
1949-07-27,50.0,8.8
1949-07-27,100.0,4.15
1949-07-27,250.0,3.8
1949-08-06,0.0,6.7
1949-08-06,10.0,5.0
1949-08-06,25.0,4.2
1949-08-06,50.0,4.1
1949-08-06,100.0,3.95
1949-08-06,250.0,3.85
1949-08-17,0.0,9.6
1949-08-17,10.0,6.8
1949-08-17,25.0,5.7
1949-08-17,50.0,5.0
1949-08-17,100.0,4.2
1949-08-17,250.0,3.8
1949-09-01,0.0,6.0
1949-09-01,10.0,5.5
1949-09-01,25.0,4.4
1949-09-01,50.0,4.2
1949-09-01,100.0,4.0
1949-09-01,250.0,3.9
1949-09-11,0.0,9.1
1949-09-11,10.0,8.7
1949-09-11,25.0,8.6
1949-09-11,50.0,8.5
1949-09-11,100.0,4.8
1949-09-11,250.0,3.9
1949-09-20,0.0,10.35
1949-09-20,10.0,10.1
1949-09-20,25.0,10.2
1949-09-20,50.0,8.2
1949-09-20,100.0,4.2
1949-09-20,250.0,3.8
1949-10-02,0.0,9.7
1949-10-02,10.0,9.0
1949-10-02,25.0,9.0
1949-10-02,50.0,8.5
1949-10-02,100.0,4.8
1949-10-02,250.0,3.8
1949-11-19,0.0,4.5
1949-11-19,10.0,4.6
1949-11-19,25.0,4.6
1949-11-19,50.0,4.4
1949-11-19,100.0,4.2
1949-11-19,250.0,3.8
1949-12-09,0.0,3.0
1949-12-09,25.0,3.2
1949-12-09,50.0,3.3
1949-12-09,250.0,3.7
1950-01-12,0.0,0.4
1950-01-12,25.0,0.9
1950-01-12,50.0,1.2
1950-01-12,250.0,3.5
1950-02-13,0.0,0.2
1950-02-13,25.0,0.7
1950-02-13,50.0,1.5
1950-02-13,250.0,3.7
1950-03-09,0.0,0.2
1950-03-09,25.0,0.8
1950-03-09,50.0,1.4
1950-03-09,250.0,3.7
1950-03-20,0.0,0.2
1950-03-20,25.0,0.8
1950-03-20,50.0,1.8
1950-03-20,250.0,3.5
1950-04-03,0.0,0.1
1950-04-03,25.0,0.9
1950-04-03,50.0,1.6
1950-04-03,250.0,3.5
1950-04-13,0.0,0.35
1950-04-13,25.0,1.0
1950-04-13,50.0,1.8
1950-04-13,250.0,3.5
1950-04-20,0.0,0.7
1950-04-20,25.0,1.2
1950-04-20,50.0,1.3
